X,Y,Z
742759.84,7103673.6,10.3
742770.28,7103657.55,10.74
742780.8,7103642.04,10.57
742792.13,7103627.82,10.48
742803.67,7103613.54,10.53
742815.24,7103598.79,10.51
742823.38,7103581.16,10.92
742832.22,7103563.4,12.41
742839.74,7103544.87,12.82
742849.34,7103528.13,13.25
742858.37,7103511.24,13.64
742868.41,7103495.18,13.76
742878.85,7103478.97,14.25
742889.65,7103463.17,14.95
742898.96,7103446.05,15.62
742907.48,7103428.31,16.05
742914.47,7103409.73,16.37
742924.16,7103392.57,16.4
742935.95,7103377.57,16.44
742947.99,7103362.63,15.78
742957.46,7103344.97,16.11
742966.76,7103326.77,16.38
742976.83,7103309.27,17.01
742987.04,7103291.65,17.23
742997.28,7103273.52,17.74
743008.02,7103256.52,17.33
743018.06,7103238.8,16.79
743028.14,7103221.65,17.38
743037.38,7103204.44,17.56
743044.18,7103185.4,17.45
743049.73,7103165.25,17.65
743057.33,7103146.67,17.27
743066.89,7103129.77,17.27
743077.9,7103114.34,18.03
743089.07,7103098.91,18.35
743099.49,7103082.73,18.65
743109.62,7103066.5,18.73
743119.83,7103050.04,19.05
743130.6,7103034.51,19.14
743141.82,7103018.78,18.98
743152.3,7103002.72,19.24
743163.11,7102986.57,19.64
743171.79,7102969.56,19.73
743180.82,7102952.21,19.57
743191.47,7102936.45,19.75
743201.93,7102919.86,19.91
743212.03,7102903.44,20.01
743222.07,7102884.69,20.32
743231,7102866.71,19.75
743239.62,7102848.74,20.76
743248.38,7102830.61,20.85
743256.28,7102812.24,20.95
743264.3,7102794.2,21.02
743273.63,7102776.95,20.89
743285.59,7102761.47,21.03
743298.24,7102745.05,19.37
743308.56,7102728.01,21.1
743316.92,7102709.62,20.97
743326.73,7102690.44,20.77
743337.87,7102674.18,20.11
743350.74,7102660.13,18.43
743360.72,7102642.77,19.19
743370.04,7102624.72,18.5
743380.38,7102607.2,17.26
743391.79,7102590.71,16.87
743402.2,7102573.94,16.86
743410.75,7102556.1,15.91
743420.24,7102538.53,15.08
743429.59,7102521.32,14.75
743440.23,7102505.25,13
743451.06,7102488.93,10.83
743461.06,7102472.53,8.9
743468.24,7102459.48,5.82
743474.78,7102449.38,3.63
743479.66,7102441.61,2.85
742749.24,7101693.34,1.31
742741.62,7101704.15,1.69
742734.62,7101718.98,2.14
742723.65,7101735.77,3.53
742712.52,7101753.7,6.43
742700.49,7101771.19,8.89
742690.91,7101789.92,10.88
742682.87,7101809.72,12.54
742675.06,7101829.51,13.84
742665.99,7101848.47,14.87
742653.46,7101866.01,15.69
742639.56,7101883.01,16.12
742626.24,7101900.61,16.44
742612.79,7101917.87,15.98
742601.67,7101936.61,16.5
742591.1,7101955.53,16.56
742581.52,7101975.14,16.71
742573.01,7101995.22,16.75
742566.06,7102015.71,16.93
742557.35,7102035.65,17.07
742545,7102054.11,17.28
742531.24,7102071.5,17.24
742518.65,7102089.44,17.59
742510.22,7102109.29,17.64
742499.58,7102128.52,17.89
742487.78,7102147.42,18.02
742476.39,7102166.36,18.13
742466.58,7102186.28,18.26
742458.34,7102206.7,18.4
742448.12,7102226.3,18.33
742434.8,7102244.09,18.19
742420.99,7102261.86,17.68
742408.92,7102280.89,18.59
742398.52,7102300.42,18.8
742386.39,7102319.29,18.97
742372.9,7102337.55,18.59
742359.07,7102355.73,19.12
742345.71,7102373.73,19.27
742330.2,7102390.34,19.19
742317.14,7102408.2,18.54
742304.6,7102426.78,19.19
742298.47,7102447.34,19.45
742293.71,7102468.76,19.56
742286.9,7102489.09,19.46
742273.77,7102507.1,18.89
742261.2,7102524.6,19.33
742253.79,7102544.24,19.02
742247.81,7102564.34,18.69
742243.89,7102584.81,18.86
742236.1,7102603.83,18.54
742224.67,7102621.76,17.64
742211.86,7102638.98,18.29
742200.28,7102656.82,18.67
742189.56,7102675.24,18.43
742179.89,7102693.38,18.48
742169.76,7102711.51,18.31
742158.96,7102729.55,17.94
742145.69,7102746.57,17.6
742132.39,7102763.26,17.35
742118.77,7102779.31,17.58
742109.53,7102797.07,17.78
742100.42,7102815.65,17.6
742090.01,7102833.57,17.18
742080.2,7102851.95,16.91
742070.18,7102870.49,16.45
742062.47,7102889.95,15.82
742053.49,7102908.81,15.21
742041.41,7102926.71,14.73
742029.22,7102944.02,14.25
742016.53,7102961.2,13.7
742006.13,7102979.37,13.15
741994.52,7102997.26,12.78
741982.06,7103014.83,12.43
741968.75,7103032.56,11.94
741960.43,7103051.97,11.6
741952.48,7103071.38,11.32
741944.19,7103090.73,10.95
741933.26,7103108.69,10.59
741923.44,7103127.22,9.91
741913.87,7103145.87,9.29
741903.87,7103164.08,8.75
741897.92,7103183.89,8.07
741889.81,7103203.28,7.41
741878.34,7103220.34,6.7
741865.77,7103234.78,5.85
741852.91,7103248.45,4.81
741845.4,7103264.31,3.05
741839.25,7103274.2,2.2
741835.7,7103281.06,3.43
741830.85,7103288.08,3.71
741824.82,7103294.62,3.71
741818.01,7103300.88,3.65
741810.81,7103306.4,3.67
741802.77,7103310.94,3.72
741797.2,7103317.15,3.25
741791.99,7103323.2,2.43
741786.14,7103330.38,3.2
741781.18,7103336.62,3.61
741776.26,7103343.42,3.82
741770.68,7103350.01,4.03
741764.22,7103356,4.09
741757.42,7103362.83,4.17
741752.47,7103372.41,4.46
741748.95,7103382.68,4.47
741748,7103393.81,4.57
741744.72,7103404.17,4.67
741737.84,7103414,4.77
741730.16,7103425.98,4.61
741722.89,7103439.8,4.81
741716.4,7103452.39,4.87
741089.9,7102584.88,2.7
741097.75,7102571.18,3.91
741103.81,7102554.84,5.3
741108.36,7102537.64,6.85
741113.23,7102519.75,8.32
741121.19,7102503.56,9.8
741131.36,7102488.25,10.94
741140.79,7102471.67,12.19
741150.66,7102456.22,13.15
741159.63,7102440.48,14.17
741170.8,7102426.26,15.05
741183.37,7102414.36,15.56
741192.13,7102399.79,16.59
741196.13,7102382.35,17.52
741202.63,7102365.7,18.49
741212.43,7102351.21,19.23
741223.83,7102338.52,19.88
741232.61,7102323.1,20.47
741239.96,7102306.59,20.63
741246.16,7102289.33,21.47
741254.76,7102273.74,21.85
741265.01,7102259.6,22.13
741275.98,7102245.77,21.6
741285.69,7102230.57,21.38
741293.39,7102214.56,22.33
741300,7102197.61,22.36
741310.61,7102183.41,22.66
741322.05,7102170.03,22.73
741333.06,7102156.72,22.76
741339.99,7102140.01,23.17
741344.93,7102121.91,22.97
741352.67,7102104.85,22.67
741362.13,7102089.41,22.31
741373.97,7102076.23,22.36
741384.97,7102062.32,22.37
741391.52,7102045.4,22.33
741396.12,7102027.09,22.74
741402.92,7102009.83,22.71
741410.51,7101992.54,22.17
741422.66,7101979.71,21.47
741435.87,7101967.94,22.29
741448.2,7101954.56,22.93
741459.73,7101940.16,23.13
741469.3,7101924.28,22.88
741474.9,7101906.51,22.99
741479.41,7101887.37,23.01
741487.54,7101870.02,22.94
741496.86,7101853.32,22.76
741506.94,7101836.61,22.58
741517.54,7101820.75,22.37
741526.58,7101803.8,22.2
741534.84,7101785.76,22.12
741545.82,7101769.44,21.82
741558.27,7101754.6,21.82
741567.4,7101738.14,21.17
741573.48,7101719.45,20.9
741579.98,7101701.24,20.5
741589.17,7101684.59,20.03
741600.23,7101668.82,19.51
741612.65,7101654.08,19.37
741624.91,7101638.95,18.92
741636.38,7101623.3,18.35
741645.06,7101605.67,17.87
741653.21,7101587.92,17.37
741662.07,7101570.31,16.91
741671.89,7101553.22,16.21
741683.28,7101537.17,15.83
741694.18,7101520.43,15.27
741703.94,7101502.8,14.84
741714.83,7101485.91,14.22
741726.98,7101470.01,13.78
741737.24,7101453.01,13.39
741747.1,7101435.7,12.9
741757.4,7101418.5,12.48
741767.05,7101400.92,12.1
741776.28,7101383.17,11.66
741786.47,7101365.89,11.13
741796.88,7101348.6,10.54
741806.4,7101330.75,9.93
741816.21,7101313.29,9.09
741825.06,7101295.46,8.23
741834.13,7101277.48,7.25
741845.1,7101260.47,6.39
741857.04,7101244.15,5.42
741869.03,7101227.84,4.5
741881.4,7101211.53,3.57
741891.17,7101194.18,2.72
741897.28,7101174.97,2.22
741904.55,7101155.42,1.89
741913.22,7101137.63,1.62
741921.58,7101121.78,1.37
741466.99,7100496.3,0.97
741459.6,7100502.38,1.13
741450.81,7100511.62,1.42
741441.98,7100522.12,1.62
741432.53,7100532.71,1.74
741422.18,7100542.33,2.37
741411.25,7100551.19,2.96
741401.33,7100561.09,3.61
741390.67,7100570.12,4.03
741380.24,7100579.78,4.67
741370.11,7100590.31,5.1
741360.86,7100602.34,5.97
741351.49,7100615.95,7.14
741341.58,7100631.56,7.2
741333.48,7100650.02,6.95
741325.55,7100670.61,8.37
741317.7,7100689.44,8.24
741308.16,7100707.3,6.47
741297.56,7100724.17,5.05
741286.88,7100740.93,5.92
741275.76,7100757.44,4.73
741264,7100773.76,4.22
741252.34,7100790.04,3.81
741240.83,7100806.48,3.58
741230.45,7100823.68,3.24
741220.43,7100841.38,3.09
741211.35,7100859.17,3
741201.9,7100876.91,3.08
741191.89,7100895.66,3.23
741182.55,7100912.97,3.14
741172.39,7100930.3,3.06
741161.49,7100949.01,2.95
741150.65,7100965.56,3.13
741141.18,7100983.14,2.92
741133.18,7101001.35,2.64
741124.85,7101019.1,2.44
741116.51,7101037.07,2.32
741106.74,7101054.19,2.03
741095.64,7101070.16,1.63
741084.37,7101085.82,1.75
741073.42,7101101.94,3.36
741062.08,7101117.92,6.59
741050.71,7101134.3,9.72
741039.03,7101150.81,12.21
741028.17,7101168.27,14.26
741016.37,7101185.14,15.57
741004.42,7101202.08,16.74
740992.96,7101219.52,17.8
740983.02,7101237.29,18.3
740975.84,7101256.54,18.75
740968.56,7101275.6,19.34
740960.8,7101294.17,19.56
740951.54,7101312.36,20.33
740941.04,7101329.82,20.9
740929.44,7101346.78,21.31
740916.56,7101362.44,21.88
740906.7,7101379.89,22.32
740896.9,7101397.63,22.9
740888.48,7101415.88,23.51
740879.43,7101434.14,23.97
740869.82,7101451.97,24.68
740860.93,7101470,25.02
740851.14,7101487.48,25.64
740840.24,7101504.47,26.06
740830.03,7101521.93,26.53
740820.3,7101539.58,26.85
740811.55,7101558.11,27.15
740799.34,7101574.77,27.4
740787.17,7101591.24,27.63
740776.18,7101608.64,27.91
740766.12,7101626.83,28.26
740758.55,7101646.69,28.15
740748.71,7101665.52,28.32
740736.23,7101682.16,28.67
740721.88,7101697.53,28.16
740710.96,7101715.2,28.65
740703,7101734.27,28.48
740695.9,7101754.15,28.18
740688.6,7101773.83,27.65
740679.58,7101792.86,27.12
740668.78,7101810.55,26.97
740656.47,7101827.45,26.56
740644.36,7101844.77,26.67
740632.93,7101862.42,26.38
740621.56,7101879.95,25.12
740609.18,7101896.88,24.36
740598.74,7101914.95,23.42
740590.09,7101933.71,22.65
740580.02,7101951.59,22.61
740568.89,7101968.52,22.61
740559.51,7101986.99,22
740549.91,7102005.14,21.03
740543.01,7102024.25,19.93
740534.2,7102042.66,18.84
740523.73,7102060.42,17.55
740511.34,7102076.83,15.47
740500.2,7102094.42,14.4
740489.94,7102112.09,12.43
740479.94,7102129.65,10.89
740470.56,7102146.98,10.03
740461.29,7102164.15,9.39
740453.45,7102180.44,9.12
740449.83,7102196.2,7.85
740446.22,7102207.41,6.35
740444.82,7102217.76,4.35
739400.69,7101494.37,21.1
739405.06,7101479.81,21.87
739412.45,7101460.09,22.4
739424.18,7101441.04,22.96
739437.8,7101423.07,23.71
739450.16,7101404.26,24.14
739457.96,7101382.72,24.5
739466.32,7101361.33,24.87
739475.97,7101340.42,24.98
739487.82,7101320.39,24.94
739500.85,7101301.13,24.99
739515.82,7101283.31,24.93
739530.07,7101264.37,24.72
739544.45,7101245.82,24.55
739555.82,7101225.45,24.2
739567.35,7101204.79,23.78
739579.52,7101185.12,23.37
739591.82,7101165.45,23
739603.84,7101146.16,22.56
739615.07,7101126.56,22.17
739628.62,7101109.06,21.62
739642.85,7101092,20.31
739655.75,7101074.54,19.93
739667.24,7101055.65,19.47
739679.32,7101037.34,19.13
739689.81,7101017.87,18.95
739701.02,7100998.81,18.92
739713.19,7100980.3,18.66
739726.67,7100962.5,18.57
739737.94,7100943.35,17.98
739747.32,7100922.92,17.94
739755.58,7100902.11,17.57
739761.49,7100880.02,17.01
739769.27,7100858.5,16.6
739779.66,7100838.51,16.49
739791.53,7100819.25,16.32
739804.17,7100800.83,15.95
739817.24,7100782.59,15.2
739831,7100764.7,14.34
739841.9,7100745.43,13.81
739851.11,7100725.42,13.45
739857.66,7100704.38,13.27
739862.18,7100682.93,12.82
739871.06,7100663.43,12.91
739881.48,7100644.07,12.91
739894.96,7100626.7,13.16
739909.75,7100610.32,13.75
739924.32,7100594.18,13.28
739937.26,7100576.57,13.58
739948.25,7100557.12,13.07
739960.38,7100538.59,12.57
739971.33,7100519.09,12.49
739980.45,7100498.5,12.25
739990.72,7100478.11,11.22
740002.25,7100458.8,10.27
740013.12,7100438.39,8.77
740024.55,7100418.46,6.87
740038.04,7100399.81,5.04
740051.86,7100381.64,4.37
740065.42,7100363.53,3.86
740077.41,7100344.78,3.99
740087.22,7100324.93,3.97
740094.46,7100304.47,3.73
740103.1,7100283.83,3.67
740115.45,7100265.14,3.31
740129.11,7100247.72,3.12
740140.45,7100228.75,3.02
740149.87,7100208.62,2.86
740158.56,7100188.07,2.79
740166.25,7100167.08,2.62
740170.5,7100145.05,2.55
740174.08,7100122.73,2.55
740175.75,7100100.21,2.53
740177.39,7100077.67,2.53
740178.91,7100054.84,2.54
740180.99,7100031.87,2.55
740186.46,7100009.44,2.52
740192.79,7099987.28,2.48
740200.41,7099965.39,2.44
740209.67,7099944.06,2.31
740221.3,7099924.03,2.06
740233.66,7099904.87,1.82
740244.69,7099885,1.73
740255.77,7099865.05,1.65
740267.37,7099845.56,1.6
740279.41,7099826.65,1.57
740291.56,7099808.39,1.54
740302.89,7099789.77,1.58
740313,7099770.54,1.57
740321.42,7099750.35,1.61
740331.05,7099730.61,1.67
740340.02,7099710.32,1.78
740350.06,7099690.02,1.96
740359.98,7099669.71,2.2
740374.02,7099650.12,2.33
740389.88,7099633.16,2.34
740405.6,7099615.51,2.41
740420.41,7099597.76,2.46
740430.15,7099576.78,2.74
740438.43,7099555.08,3.05
740448.24,7099534.08,3.41
740457.97,7099513.09,3.7
740468.48,7099492.16,3.96
740481.18,7099472.64,4.12
740493.05,7099452.63,4.28
740506.35,7099433.44,4.34
740519.17,7099414.36,4.35
740529.33,7099394.1,4.23
740539.58,7099373.7,3.94
740550.62,7099353.61,3.51
740563.57,7099335.06,3.09
740574.47,7099315.32,2.77
740583.94,7099294.81,2.6
740592.32,7099273.82,2.58
740602.47,7099253.73,2.62
740616.39,7099236.04,2.66
740629.62,7099217.99,2.31
740641.49,7099199.55,1.57
739417.37,7099483.18,0.62
739415,7099487.46,0.73
739410.49,7099495.16,0.79
739403.52,7099504.45,1.03
739395.04,7099514.31,2.08
739384.69,7099525.56,3.84
739374.07,7099538.18,5.45
739364.3,7099554.25,6.75
739352.89,7099571.24,7.73
739341.1,7099588.09,8.52
739330.13,7099605.37,9.2
739320.43,7099624.01,9.79
739310.82,7099642.78,10.3
739300.01,7099660.51,10.74
739288.57,7099677.8,11.12
739277.7,7099695.31,11.45
739268.42,7099713.67,11.79
739261.26,7099733.05,12.07
739254.09,7099752.12,12.32
739245.59,7099770.4,12.57
739236.5,7099788.27,12.77
739226.49,7099805.52,12.94
739216.84,7099822.78,13.04
739207.23,7099839.81,13.06
739196.73,7099856.22,13.06
739186.12,7099872.68,12.87
739175.34,7099889.2,12.65
739165.17,7099906.03,12.52
739154.5,7099922.72,12.19
739144.55,7099939.95,12.03
739134.17,7099955.77,12.11
739123.4,7099971.02,11.98
739112.41,7099988.01,12.17
739103.32,7100005.74,12.32
739096.8,7100025.07,12.68
739088.27,7100043.52,12.93
739078.22,7100060.89,12.99
739068.21,7100077.96,13.25
739058.81,7100095.52,13.48
739050.15,7100113.47,13.64
739043.06,7100132.68,13.6
739034.75,7100151.37,13.82
739025.1,7100169.3,13.84
739013.17,7100185.48,13.66
739001.4,7100201.56,13.75
738989.78,7100217.65,13.77
738977.46,7100233.91,13.67
738965.97,7100250.5,13.63
738955.91,7100268.2,13.73
738946.03,7100285.99,13.77
738936.56,7100303.8,13.84
738925.76,7100320.95,14.06
738913.66,7100337.4,14.49
738902.43,7100354.33,15.01
738892.25,7100371.83,15.2
738884.54,7100390.05,15.35
738875.63,7100407.62,15.52
738867.09,7100425.91,15.77
738857.91,7100443.89,15.6
738846.93,7100460.4,15.44
738834.95,7100476.36,15.55
738824.42,7100493.32,15.41
738815.26,7100510.92,15.44
738807.07,7100528.65,15.61
738798.24,7100546.3,15.39
738788.19,7100563.19,15.47
738778.41,7100579.99,15.42
738769.23,7100597.26,15.49
738759.44,7100614.1,15.21
738749.75,7100630.81,14.99
738740.96,7100647.87,14.89
738731.75,7100665.24,15
738721.93,7100682.21,14.86
738711.68,7100698.6,14.59
738701.3,7100714.66,14.78
738693.26,7100732.07,14.54
738686.8,7100750.63,14.3
738681.2,7100769.15,14.21
738672.6,7100787.07,14.16
738661.35,7100803.07,14
738649.57,7100818.9,13.88
738637.95,7100835.13,13.8
738626.18,7100851.03,13.66
738615.41,7100867.83,13.78
738604.12,7100884.3,13.71
738593.42,7100901.34,13.68
738581.71,7100917.19,13.56
738569.48,7100932.6,13.45
738558.1,7100948.44,13.46
738550.06,7100966.6,13.19
738541.42,7100984.57,13.23
738532.18,7101001.63,13.02
738523.42,7101018.95,12.67
738514.67,7101036.13,12.04
738505.09,7101052.41,11.65
738494.57,7101068,10.95
738486.43,7101085.42,10.48
738479.03,7101103.09,9.88
738469.38,7101119.28,9.34
738460.4,7101136.44,8.8
738450.58,7101152.88,8.21
738440.36,7101168.72,8.14
738429.52,7101184.43,9.14
738419.07,7101200.8,9.95
738408.68,7101216.95,10.62
738399.27,7101233.5,11.08
738390.84,7101250.73,11.54
738382.65,7101268.3,11.51
738374.07,7101285.67,11.29
738364.37,7101302.43,10.88
738353.61,7101318.44,10.26
738343.65,7101335.07,9.52
738335.82,7101352.48,9.97
738327.14,7101369.62,10.46
738318.45,7101386.66,10.33
738309.57,7101403.16,10.23
738300.08,7101419.74,10.19
738291.37,7101436.73,10.19
738282.57,7101453.55,10.23
738274.54,7101471.02,10.24
738267.74,7101488.67,10.14
738262.73,7101507.23,9.8
738259.36,7101525.3,9.17
738254.79,7101541.2,8.26
738248.65,7101556.41,6.44
738241.7,7101570.73,3.75
738234.25,7101584.09,0.87
738228.27,7101594.48,0.58
737236.4,7101255.3,0.7
737241,7101247.78,1.6
737246.22,7101238.8,3.56
737250.26,7101223.92,5.69
737255.27,7101205.74,7.26
737261.92,7101186.27,8.4
737270.72,7101167.33,8.85
737283.86,7101151.34,8.82
737300.16,7101138.39,8.77
737314.59,7101124.22,8.77
737325.81,7101106.96,8.72
737340,7101092.17,8.64
737357.06,7101080.55,8.58
737371.79,7101068.52,8.59
737381.91,7101051.64,8.6
737388.23,7101032.92,8.56
737394.17,7101014.16,8.52
737401.37,7100995.5,8.41
737409.93,7100977.55,8.23
737418.43,7100959.53,8.02
737426.35,7100941.15,7.74
737434.5,7100923.31,7.39
737438.21,7100904.87,7
737438.36,7100885.96,6.62
737437.91,7100867.19,6.26
737444.13,7100849.28,5.83
737452.86,7100831.9,5.43
737462.75,7100814.7,5.15
737473.29,7100797.65,4.95
737484.97,7100781.06,4.83
737496.29,7100764.72,4.69
737505.92,7100747.52,4.57
737516.99,7100730.97,4.46
737525.3,7100713.3,4.49
737534.47,7100696.12,4.55
737543.92,7100681.13,4.58
737552.12,7100670.2,4.65
737560.06,7100660.3,4.75
737568.55,7100651.04,4.9
737577.95,7100642.5,5.1
737586.28,7100633.86,5.35
737592.6,7100624,5.57
737599.05,7100613.82,5.74
737606.2,7100604.38,5.92
737613.04,7100594.44,6.13
737620.02,7100585,6.4
737625.05,7100574.52,6.68
737630.42,7100564.29,6.93
737635.57,7100553.82,7.09
737640.66,7100543.1,7.29
737647.13,7100529.97,7.41
737654.43,7100514.09,8.04
737661.34,7100496.97,8.43
737669.74,7100479.98,8.72
737681.27,7100464.92,9.05
737693.21,7100449.18,9.32
737704.51,7100433.48,9.77
737714.51,7100417.61,9.86
737723.81,7100400.98,10.15
737733.52,7100384.46,10.5
737743.09,7100367.69,10.44
737753.03,7100350.55,10.84
737763.22,7100333.46,10.44
737773.33,7100316.47,10.91
737783.04,7100299.16,10.95
737793.41,7100282.24,10.92
737804.32,7100265.76,11.29
737815.18,7100249.52,11.61
737821.88,7100231.61,11.95
737827.7,7100213.05,12.27
737835.14,7100194.87,12.41
737845.8,7100177.99,12.56
737857.32,7100161.62,12.65
737866.7,7100144.27,12.61
737876.12,7100126.77,12.83
737884.64,7100108.87,12.97
737893.36,7100090.95,12.98
737903.93,7100073.85,13.06
737915.08,7100056.87,13.12
737926.8,7100040.03,13.13
737939.3,7100024.06,13.15
737950.82,7100007.64,13.22
737959.78,7099989.6,13.22
737967.68,7099970.62,13.24
737975.69,7099952.48,13.28
737986.12,7099935.47,13.3
737997.33,7099918.61,13.3
738009.83,7099902.48,13.38
738022.55,7099886.63,13.45
738032.59,7099869.25,13.54
738042.15,7099851.5,13.68
738051.52,7099833.96,13.96
738061.87,7099816.95,14.49
738071.85,7099799.74,14.7
738081.27,7099782.29,14.81
738091.57,7099765.11,14.8
738101.39,7099747.64,14.82
738109.42,7099729.61,14.77
738117.8,7099711.62,14.72
738126.74,7099693.78,14.69
738137.1,7099676.73,14.52
738148.91,7099660.36,14.08
738160.91,7099643.36,13.45
738171.72,7099625.63,13.13
738183.14,7099608.77,12.85
738194.7,7099592,12.67
738204.49,7099574.31,12.56
738214.29,7099556.73,12.43
738222.19,7099538.49,12.79
738229.59,7099520.03,12.32
738236.53,7099501.52,12.33
738245,7099483.51,12.4
738254.34,7099466.07,12.49
738264.89,7099449.2,12.57
738274.51,7099431.65,12.71
738285.61,7099415.07,12.82
738297.77,7099398.64,12.88
738309.19,7099382.21,12.93
738319.55,7099365.02,12.85
738329.6,7099347.53,12.66
738338.73,7099329.38,12.36
738347.84,7099311.32,12.13
738356.6,7099293.25,11.87
738367.26,7099276.15,11.55
738379,7099259.53,11.22
738390.76,7099242.88,10.79
738402.86,7099226.5,10.32
738413.39,7099209.34,9.91
738423.08,7099191.98,9.61
738431.94,7099174.2,9.47
738440.53,7099156.17,9.4
738448.93,7099137.91,9.37
738459.2,7099120.45,9.46
738468.53,7099102.79,9.51
738480.47,7099086.27,9.71
738493.8,7099070.75,9.86
738507,7099054.98,10.19
738517.74,7099037.82,10.31
738526.35,7099019.68,10.4
738534.41,7099000.91,10.52
738543.56,7098982.74,10.55
738553.96,7098965.23,10.56
738563.49,7098947.14,10.49
738572.27,7098928.97,10.32
738580,7098910.26,10.09
738588.64,7098891.79,9.83
738598.47,7098874.09,9.6
738609.11,7098856.59,9.46
738621.15,7098840.23,9.45
738631.37,7098822.64,9.55
738641.64,7098805.05,9.68
738652.25,7098787.67,9.71
738662.7,7098770.08,9.6
738672.16,7098752.18,9.41
738681.38,7098734.04,9.1
738689.65,7098715.53,8.78
738698.74,7098697.17,8.34
738707.85,7098678.96,7.85
738716.52,7098660.16,7.32
738726.55,7098641.71,6.63
738735.8,7098622.97,5.92
738743.62,7098603.65,5.22
738752.41,7098584.74,4.42
738764.04,7098567.65,3.37
738776.03,7098550.74,2.72
738786.73,7098533.28,2.31
